id,course_name,course_level,couse_code,school_id,department_id
1,Exploring Our Humanity,100,ANTH-0100,1,1
2,Introduction to Biological Anthropology,200,ANTH-0200,1,1
3,Introduction to Cultural and Social Anthropology,300,ANTH-0300,1,1
4,Witch-Hunt Persecutions,400,ANTH-0400,1,1
5,Archaeology: from Dig to Lab and Beyond,100,ARCH-0100,1,2
6,Hannibal,200,ARCH-0200,1,2
7,Introduction to Near Eastern Art and Archaeology,300,ARCH-0300,1,2
8,Osteoarchaeology: The Truth in Our Bones,400,ARCH-0400,1,2
9,Out of the Past,500,ARCH-0500,1,2
10,Pyramids of Giza: Ancient Egyptian Art and Archaeology,600,ARCH-0600,1,2
11,Roman Art and Archaeology,700,ARCH-0700,1,2
12,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,800,ARCH-0800,1,2
13,Wonders of Ancient Egypt,900,ARCH-0900,1,2
14,Theory of City Form,1000,ARCH-1000,1,3
15,Architecture Studio: Building in Landscapes,1100,ARCH-1100,1,3
16,History of Architecture,1200,ARCH-1200,1,3
17,Making Architecture,1300,ARCH-1300,1,3
18,Roman Architecture,1400,ARCH-1400,1,3
19,Structures 2,1500,ARCH-1500,1,3
20,Sustainability in Architecture: An Interdisciplinary Introduction,1600,ARCH-1600,1,3
21,The Architectural Imagination,1700,ARCH-1700,1,4
22,Art Through Time: A Global View,100,ARTC-0100,1,5
23,Digital Photography,200,ARTC-0200,1,5
24,Effective Fundraising and Leadership in Arts and Culture,300,ARTC-0300,1,5
25,European Paintings: From Leonardo to Rembrandt to Goya,400,ARTC-0400,1,5
26,Fashion as Design,500,ARTC-0500,1,5
27,Foundations of American Cyber-Culture,600,ARTC-0600,1,5
28,In the Studio: Postwar Abstract Painting,700,ARTC-0700,1,5
29,"Intentional Public Disruptions: Art, Responsibility, and Pedagogy",800,ARTC-0800,1,5
30,Introduction to Digital Photography,900,ARTC-0900,1,5
31,Introduction to Visual Design,1000,ARTC-1000,1,5
32,Introduction to Visual Studies,1100,ARTC-1100,1,5
33,Introduction to Visual Thinking,1200,ARTC-1200,1,5
34,Italian Renaissance,1300,ARTC-1300,1,5
35,Italic Calligraphy & Handwriting,1400,ARTC-1400,1,5
36,"Let This Be a Lesson: Heroes, Heroines & Narrative in Paintings at Yale",1500,ARTC-1500,1,5
37,Lighting Essentials,1600,ARTC-1600,1,5
38,Modern Art & Ideas,1700,ARTC-1700,1,5
39,Photography,1800,ARTC-1800,1,5
40,Photography Lectures from the School of Visual Arts (SVA),1900,ARTC-1900,1,5
41,Seeing Through Photographs,2000,ARTC-2000,1,5
42,Sexing the Canvas: Art and Gender,2100,ARTC-2100,1,5
43,SmARThistory Video Lectures,2200,ARTC-2200,1,5
44,Teaching Critical Thinking through Art with the National Gallery of Art,2300,ARTC-2300,1,5
45,The Elements of Drawing,2400,ARTC-2400,1,5
46,What Is Contemporary Art?,2500,ARTC-2500,1,5
47,Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,2600,ARTC-2600,1,5
48,Astrobiology and Space Exploration,100,ASTR-0100,1,6
49,Astronomy 101,200,ASTR-0200,1,6
50,Exploring Black Holes: General Relativity & Astrophysics,300,ASTR-0300,1,6
51,"Edmund Bertschinger, MIT",400,ASTR-0400,1,6
